L0,L1,Graph
0.08172318,-0.4903676,4
-0.41909817,-0.65066636,6
-0.74267936,-0.93872935,6
-0.6827333,0.32111633,5
0.23531963,1.0,7
-0.89162457,1.0,9
0.22371322,1.0,12
0.28557894,-0.34966162,23
-0.023706004,-0.7347382,23
0.6050892,0.9001199,34
-0.7506859,-0.045045286,34
0.58643365,-0.59635615,59
0.522894,0.24525796,59
0.09711876,-1.0,65
-0.5555064,0.35876003,89
0.28781933,-0.8553392,89
-0.65875906,-0.4964562,89
-0.5636237,-0.40931064,89
1.0,0.2522004,89
0.48615417,1.0,89
0.4553883,-0.8388345,78
0.33290875,0.049573228,78
0.15098314,-0.41524196,81
-0.36649242,-0.08885078,81
-0.35471305,0.9928149,107
-0.21738589,1.0,108
-0.9498025,-0.58444554,108
-0.82319206,-0.887569,108
0.5257605,-0.3756745,108
-0.4181689,1.0,110
-0.3502968,-0.73503804,127
0.25021917,0.56879354,127
-0.14457874,0.17640872,127
0.8029735,-0.9924414,127
0.41536662,-0.7213928,126
0.19024505,0.10919264,126
-0.15749867,0.83940446,126
0.9986947,-0.7106072,121
-0.9060882,0.11251244,121
1.0,0.3699234,121
0.22921228,0.37261468,121
-0.3879177,-0.17380127,135
0.8282008,-0.4272688,137
0.09599759,-0.76388705,137
-0.3565572,0.4099427,144
-0.68744516,-0.3573335,144
0.023501217,-0.31595826,139
0.015797555,0.21464534,146
-0.118030846,-0.5281272,156
0.23989104,-0.06204775,156
0.68221766,0.8925196,
0.23175399,-0.050344795,
-1.0,-1.0,
-0.07835141,0.28092378,
-0.011199504,1.0,
0.25657582,-0.05086851,
-0.6675327,0.10713585,
1.0,-0.9085745,
-0.050124936,0.013304211,
-0.14401892,0.8451767,
-0.9680822,-0.72508097,
-0.044794723,0.94401264,
-0.18047963,-0.6328855,
0.48667777,-0.09883359,
0.40047508,0.96432304,
0.6254102,-1.0,
0.4570983,1.0,
-0.59579724,-0.8317672,
-0.9552772,,
0.06854299,,
-0.73437166,,
0.9129778,,
1.0,,
0.60666203,,
0.365854,,
-1.0,,
0.9822051,,
0.06142185,,
-0.38989085,,
-0.40633687,,
0.5842122,,
1.0,,
-0.34075445,,
0.7049351,,
0.6771643,,
0.56058526,,
0.96516335,,
0.85015696,,
0.1772587,,
-0.7869642,,
0.5307351,,
0.099322036,,
-0.72812665,,
0.44817764,,
-0.26782468,,
0.94986063,,
0.047696456,,
-0.7056529,,
0.7643306,,
-0.63369656,,
0.28938955,,
0.9651367,,
-1.0,,
0.39768028,,
