L0,L1,L2,Graph
0.024521291,0.25032955,-0.48227012,4
-0.01024808,0.39470878,-0.5587394,4
0.21633285,1.0,0.17127322,5
0.47065282,-0.16736719,0.4011114,5
-0.0053793043,-0.4380078,0.9017549,5
-0.40466797,-0.2758946,0.36168814,5
1.0,-0.2033625,-0.52631974,8
0.05005271,0.7227181,-1.0,8
-1.0,-1.0,-0.40474647,8
0.8414879,0.38524047,-0.59193224,7
-0.17146185,0.63684314,-0.86271185,11
-0.5348865,-0.5466868,-0.74940723,12
-0.45034674,-0.7603418,0.19264576,13
1.0,-0.28658488,-0.28177568,21
-0.1473277,-0.04654306,-1.0,27
-0.4571123,0.004442647,0.33203578,31
-0.7839574,-0.49967903,0.13634887,31
-0.4190067,-0.79648244,0.33485764,39
-0.11355439,-0.5958115,0.035263836,39
0.7159126,0.08787284,0.78234315,51
-0.09283852,0.26922667,1.0,51
0.69105375,-0.8803103,0.7132381,52
0.07884559,0.41734004,0.7078436,65
-0.4822884,-0.98609793,0.71487576,65
1.0,1.0,0.88391036,65
0.23331988,-1.0,-0.999446,73
-0.89461166,0.7251408,-0.7012173,77
0.23864362,-0.087529,-0.38870096,93
-0.8455065,-0.7215003,-0.7521272,122
-0.5493586,-0.83269703,-0.117201984,122
-0.3644053,0.7186222,0.35766634,122
0.86811656,0.74398553,0.34192792,122
0.9733688,-0.42728654,-0.0950062,122
0.0932857,-0.81650263,0.08823328,122
-0.20197125,-1.0,0.0219253,122
-0.21299571,-0.635672,-0.17028026,122
1.0,0.25547975,-0.58535445,122
0.45708507,-0.91317844,0.7652528,122
0.55363166,0.44196826,-0.57421595,122
-0.6460161,0.42477354,-0.33740312,122
-0.6489227,-1.0,1.0,122
-1.0,0.7793268,0.6982409,122
-0.14332736,0.19088969,-0.0051891953,141
-0.0878676,0.31124473,0.00873341,141
-0.27062353,-0.4460554,0.75220275,141
-0.94018257,-0.019369349,-0.9423907,141
0.6466875,-0.005522847,0.018564984,141
0.22458063,0.09160773,0.49155903,149
0.73100084,0.440181,0.20867649,149
-0.19797525,-0.86729115,0.8149549,149
0.6056386,0.3557945,0.12226519,
-0.3946523,-0.8843872,0.37969536,
-0.556406,0.94741666,0.45375007,
-0.17639631,-0.7405959,0.057791173,
-0.6034454,0.052810848,0.72786885,
-0.38166922,0.879446,-0.81182015,
-0.7235837,0.33012003,-0.32362065,
0.20975363,-0.021212857,-0.8771308,
1.0,0.032568574,-0.76519525,
-0.5808315,0.51308113,0.55265176,
-0.37014854,-0.99323165,0.5255847,
0.5042867,1.0,-0.41672054,
-0.6731335,0.05878149,0.60708374,
-0.3473426,-0.3972763,0.37866116,
-0.6226906,0.644097,1.0,
0.017694026,-0.04030855,-0.2143751,
0.518002,-0.3248694,-0.3192904,
0.31439218,0.64562094,0.44339898,
-0.48426792,-1.0,-0.0016243011,
0.6895026,0.5640669,0.02376528,
0.70272344,-0.9861322,0.21143068,
-1.0,-0.34144992,-0.29914466,
-0.19818287,0.15092513,0.8479328,
0.43912256,-0.3169028,0.809737,
0.0054786988,1.0,0.47588584,
0.13296774,-0.6935539,0.6076762,
-1.0,-0.4006088,-0.8431152,
0.6589659,0.05612579,1.0,
-0.6231204,-0.50219125,0.321859,
0.6233898,-0.46597067,-1.0,
0.5373289,-1.0,0.75240135,
-0.58375335,-0.80902296,-1.0,
-0.45283878,-1.0,0.5469156,
-0.2557125,-0.4822039,0.9412255,
-0.29058746,-0.10669513,-0.37790012,
0.5578147,-0.4101515,0.37279198,
-0.79812497,0.5703108,0.18022387,
0.18354227,0.044552393,0.46792072,
0.72463036,-0.28062373,0.61317796,
0.5389618,-0.05445242,-0.86838514,
0.47285083,0.27074915,-0.3456257,
0.49700904,-0.05460134,0.12314536,
-1.0,-0.7138796,0.27904767,
0.7104212,-0.21710956,-0.07415825,
-0.4743252,1.0,0.19383824,
0.36757845,-0.41207942,0.76804245,
-0.31827515,0.48233622,-0.93621576,
0.01742202,-0.8253225,-0.36091474,
0.6606643,0.26701376,-0.39560604,
1.0,0.249414,0.17859557,
1.0,-0.39648867,,
1.0,-0.95300543,,
-0.4375478,0.17254655,,
0.1679892,-1.0,,
0.08128762,0.51303124,,
-1.0,0.15944442,,
0.10043741,0.0333431,,
-0.4259232,0.40091863,,
0.5861001,1.0,,
