L0,L1,L2,L3,Graph
0.121309385,0.51261175,1.0,-0.33918878,4
0.26474467,0.302581,0.82934177,0.38755032,4
0.66648793,-1.0,0.8729769,1.0,4
0.8812567,-0.07387792,-0.8058423,-0.33126265,4
0.76061785,-0.9157108,0.70718396,0.55067664,5
-0.0725656,0.4865966,-1.0,0.6930543,4
1.0,-0.44472998,-1.0,-0.18277608,4
-0.52890104,0.35297668,0.6864681,0.8720419,4
0.79710484,-0.33742255,0.10115227,-0.16971318,7
0.53044915,0.6757232,-0.8004494,0.5888716,7
0.4760002,0.15082794,-0.46276185,-0.77657616,7
0.527112,-0.5617889,0.51584685,-0.5744106,7
-0.35195404,-0.9989996,-0.8170196,-0.7794627,7
-0.8433943,1.0,0.53559643,0.5986392,7
-0.8740941,-0.60044676,-0.045622434,-1.0,6
-0.6458961,-0.45199013,1.0,-0.11118933,6
0.35374454,0.18115665,-0.8424858,-0.4576453,6
0.39930046,0.29377386,0.36945134,0.46480736,6
0.43580878,-0.15013134,-0.6960597,0.08577311,6
1.0,0.8760043,0.8358382,0.6490673,6
1.0,-0.2965095,-0.27986735,-1.0,6
1.0,0.7880274,0.90253705,-1.0,6
0.25104684,0.037888303,0.52276313,-0.41602454,6
0.7743375,0.2892554,0.20624411,0.7791367,9
-1.0,0.09615885,0.23081404,0.39635012,9
-0.3621741,0.98697525,-0.3094272,0.41492927,8
-0.62169427,0.70984936,1.0,0.30017883,8
-0.45598513,0.9643138,0.26596215,-0.747841,8
-0.26420414,-0.24674907,0.17724612,0.36360162,8
0.53555197,-0.49242252,-0.9899472,-0.7785862,20
-0.29233897,-0.62827486,0.9789727,-0.47309318,20
0.3226031,-0.57700986,0.9974419,0.46450645,29
1.0,0.50134325,0.27227116,-0.3789443,29
0.11505197,0.9524354,0.77892643,-0.71888715,29
-0.15152876,0.56573886,0.68961585,-0.45193297,26
-0.4619334,-0.3557407,0.08024514,1.0,26
0.7517538,-0.7109106,-0.771455,-0.6705811,26
-0.7656225,0.042470515,0.3454759,-0.48649195,26
0.47626007,-0.76412946,-1.0,0.9777612,26
0.008907467,0.7043197,-0.0340126,0.5224901,26
0.5169857,0.5901352,0.91790766,-0.94389623,26
-0.17561841,-0.95377326,-0.065467045,0.7631427,38
0.6065362,-0.32164475,0.10962727,0.026870757,38
0.44925627,-0.58359116,0.14440136,-0.42274338,38
-0.14928092,0.9480956,-1.0,-0.49686825,38
-1.0,-0.5055726,-0.6938484,0.98892635,38
0.98412776,0.5279309,-0.4557478,0.8913022,38
-0.49266744,-0.029642731,0.6954217,-0.68880916,50
-0.98651576,0.63468456,1.0,-0.4815007,57
0.022993132,-0.15655562,-1.0,0.44772774,65
-0.08667064,0.69303155,-0.61489314,0.7815802,65
-0.49449542,-1.0,0.8238432,-0.35170144,65
0.470154,-0.8294107,-0.739321,-0.76467454,66
0.3525585,0.6360914,-0.8157955,0.88371485,66
-0.92986256,-0.41848096,0.09093864,0.20476589,73
0.27035838,0.96192193,-0.913805,0.6759318,63
0.9690282,-0.65095806,-0.56783426,0.6275331,63
0.89754945,-0.10455596,-0.26728532,0.10601452,75
0.252051,0.30547002,-0.6742889,-0.111665905,75
1.0,0.047875263,-0.14716278,0.6020663,75
0.6551429,-0.57240516,-0.24883357,0.022905722,75
0.44993764,0.59952885,0.7583565,-0.60207534,77
-0.07857694,0.91176426,0.07582842,0.93701386,77
0.38651586,-0.12416043,-0.5753259,0.07919055,79
-0.436795,-0.6411288,-0.95268184,0.020223286,79
-0.086352535,0.10471672,-0.85909164,0.9590412,79
-0.4169326,-0.27896568,0.40857935,0.145811,79
0.64324677,0.29293007,0.41887102,0.98435587,79
0.38752672,-0.711971,0.5902154,0.23489606,85
0.6606373,-0.5475875,1.0,0.38615787,85
-0.3388652,-0.48407418,1.0,1.0,85
0.23909742,1.0,-0.30255675,-0.3281168,85
0.40840602,0.22449443,0.059305906,0.10691132,85
-0.5473078,0.34198967,0.15630668,-0.3441137,85
1.0,1.0,-0.0449621,-0.14042005,85
0.08023912,-0.3901365,0.85548735,0.49401057,85
-0.30535397,-1.0,0.31316397,0.9448491,85
-0.5540488,-0.7586741,1.0,-1.0,85
-1.0,-0.6580234,0.2502045,0.27907872,85
-0.26762012,0.32102978,-0.08836794,1.0,85
-0.18532783,-0.5096021,0.31726527,-0.5405886,85
-0.4653573,-0.6284131,0.78133565,0.5821372,104
0.14524889,-0.599501,0.24041352,0.07146873,104
0.81636417,-0.1846639,-0.55532014,0.9062965,104
0.2235533,-0.44150192,0.8082285,-0.06637548,104
0.052286416,0.5156814,-1.0,-1.0,104
0.7659504,1.0,-0.584693,-0.790177,104
-0.51497656,0.16078301,-0.83546865,1.0,104
-0.57015586,-0.21054286,-1.0,1.0,113
-0.62555397,-0.65755785,1.0,-0.24004515,113
0.55204934,0.9492516,0.9021748,1.0,113
0.03545104,-0.5131063,-0.3359374,-0.8133086,113
-0.40748173,0.7554822,0.047422633,1.0,113
0.6199126,-0.70259607,0.71987927,0.27077335,113
0.76850545,0.44001222,-0.9378034,0.44438246,113
-0.16501048,-0.059682503,-0.48037958,-0.7237525,113
1.0,-0.68029666,0.47824138,0.25143677,113
-0.89678115,0.81000537,0.48008808,-1.0,113
-1.0,-0.6889445,0.7684356,0.14882648,113
0.67581856,-0.23742086,-0.218069,1.0,113
-0.38598529,0.018783215,0.33488965,,113
0.22262281,-0.9303987,0.7029653,,113
1.0,-1.0,0.9681174,,113
0.32756424,0.44759685,-0.51018226,,113
-0.8604256,0.15913266,0.22426161,,113
-0.12834466,-0.8035073,-0.15456103,,113
-0.89141697,-0.22912474,0.37167645,,113
-0.42694312,0.12795743,0.68271244,,113
0.7222547,0.20105305,-0.59434515,,113
-0.88695586,0.011139065,0.749506,,113
1.0,0.8154201,-0.64800614,,113
-0.7394841,0.0812951,-0.6085862,,113
0.9396486,-1.0,-0.07437858,,113
-0.51575273,-0.21207881,-0.41081437,,113
0.24389115,0.4768575,1.0,,113
0.49785703,0.096369,0.5656409,,113
0.9876309,-0.3011799,-0.7130868,,113
0.8299191,0.41285056,0.07054742,,113
0.21352746,-0.41639385,1.0,,117
-0.6776816,1.0,-0.8609599,,117
0.92067397,-0.41359952,-0.48584592,,117
0.8972035,0.59716666,0.14164925,,117
-0.1905567,-0.10896273,-0.7689365,,122
-0.72157013,-0.75071985,-1.0,,122
0.104471624,0.84887326,-0.29997256,,122
-0.12358639,-0.7080482,0.74168926,,122
-0.93732345,1.0,0.065125525,,122
-0.048208535,0.7022084,-0.7187858,,122
0.77633,1.0,-1.0,,122
0.34983432,0.29971284,0.64115435,,122
0.059656918,1.0,-0.82407033,,122
0.44502848,-0.97523916,-0.11343613,,122
-0.9234508,1.0,0.14373873,,122
-1.0,0.8579191,-0.17191747,,122
0.4348461,-0.41705948,-0.5783567,,122
-0.8496487,-1.0,0.5094133,,122
-0.7505989,-0.14493239,-0.6082703,,122
0.03319457,-0.38065356,-0.06405607,,122
0.72270894,0.4254381,0.7786331,,122
-0.5001321,-0.06769343,0.85836715,,127
-0.1655209,-0.9219757,0.29044503,,127
1.0,0.53224987,-0.8241722,,127
0.73075616,-0.91590834,-0.71448886,,127
-0.84560645,0.94339496,-0.8642353,,127
0.6349688,-1.0,-1.0,,127
0.1799329,0.8682033,-0.75398916,,127
0.046151727,-0.868551,0.032630533,,127
1.0,0.9569127,-0.8736845,,127
-0.5618248,0.048200622,-0.9574847,,127
-0.35872746,-0.38974717,-1.0,,127
-0.23668079,-0.47697788,-0.5948791,,127
0.46292067,-0.97561204,-0.72293866,,127
0.20849276,-0.28856218,0.3467415,,127
0.42698106,1.0,-0.7985308,,127
0.5201717,0.852617,-0.53520143,,127
0.7511609,1.0,-0.15519845,,127
-1.0,0.27648842,0.76784647,,127
-0.5792757,-0.22898173,0.45308933,,127
-0.28611505,-0.26767236,0.46821824,,127
-0.06659925,0.6724793,-0.21062323,,140
0.75197506,-0.46058607,0.26982766,,140
-0.40875378,0.58189577,-0.007497698,,140
-0.853779,-0.2521837,0.26664987,,140
0.42796418,-0.04668688,-0.5955339,,140
-1.0,-0.9269082,-1.0,,140
1.0,-0.18724178,-0.8699418,,140
0.40246555,-0.34181732,-0.8386368,,140
-0.9639738,0.8822679,-0.17054212,,140
-0.9526063,-0.22152159,-0.9456479,,140
0.21795347,0.36229607,-0.60213673,,140
0.090016894,0.86362594,0.9929875,,140
0.5082326,-0.57240784,-0.5994718,,140
0.90198636,-0.012897134,-1.0,,140
0.52817583,-0.23950356,0.5356044,,140
0.6260784,-0.113395706,0.8057261,,154
-0.5257152,0.9085544,1.0,,154
0.27929088,0.7515774,0.07832341,,154
0.20182633,0.48882997,-0.71192074,,154
-0.074028105,-0.40290532,1.0,,154
-0.10554046,0.11529216,1.0,,154
0.38428164,-0.32517195,-0.88180685,,154
-0.60485446,-0.798055,-0.18171488,,146
0.26577133,-0.6718746,1.0,,146
-0.15788326,0.855102,0.7036407,,146
-0.096223,1.0,1.0,,146
-0.9958216,0.30572695,-1.0,,148
0.77298033,0.1868026,0.04408682,,148
-0.89709467,0.1479116,-0.65891623,,148
1.0,0.913514,0.38567486,,148
0.63892305,-0.09373113,0.33701575,,148
-0.7261537,-0.18640247,0.6803194,,148
-0.0760683,-0.9632964,1.0,,148
0.8925323,1.0,1.0,,148
-0.15578485,0.09621766,0.8770212,,148
-0.500916,0.31650648,-1.0,,148
-0.5369223,0.07176614,4.345402E-4,,148
0.3100003,-0.25076494,-0.66597974,,148
-0.9691766,0.39596558,-0.49918383,,148
-0.923066,-0.7209905,0.6916696,,148
-0.19195506,-0.22451963,0.17208372,,148
0.62849045,0.08817491,-0.9189081,,148
0.1564728,0.09421854,-0.6419921,,148
-0.08301327,0.09681388,1.0,,148
0.7409701,-0.5034916,-0.8215568,,148
0.9916749,0.13237754,-0.06252465,,148
-0.5654769,-1.0,-0.19841711,,148
-0.7964014,0.951339,-0.54954106,,148
0.24548402,0.28025362,0.06036815,,148
0.81318533,-0.53815544,-0.44566283,,148
-0.1765688,0.74572283,-0.47790888,,148
0.9839275,-0.8534714,-0.77837366,,148
-1.0,-0.41064122,0.87666774,,148
0.58179677,0.8879658,-0.45462078,,148
0.12851971,-0.51494765,-0.20516708,,148
0.4671405,-0.18841298,0.7808823,,150
0.86581814,0.71798813,0.8452385,,150
-0.47578984,0.29138786,-0.4672015,,150
