L0,L1,L2,L3,Graph
0.67711186,-0.5629867,0.47056592,0.601876,4
0.93398017,-0.28834197,0.40618634,0.21643478,4
0.50709355,0.559175,-0.0038396604,0.50960195,4
-0.7381675,-0.21113585,-0.39192617,-4.94726E-4,7
-1.0,-0.19698298,0.13687274,-0.7126298,7
0.6119907,-0.085573725,-0.2850674,0.11081827,7
0.40553638,0.6017897,-0.0063593388,0.5640394,7
1.0,0.39958453,0.96722114,0.057841353,5
0.6297938,-0.19867486,0.06070538,-0.79844564,5
0.40173018,-0.68143296,0.96253914,-0.26730284,5
-0.8639586,-0.38772747,-0.117009126,0.3965404,6
-0.21603633,0.4238972,0.7050009,0.4480102,6
0.6730376,-0.60949737,-0.61550975,0.58586335,6
-0.3536594,-0.9205692,0.1373353,-0.8639289,6
0.590212,-0.14322436,0.29956245,0.6799784,6
-0.49793494,-0.84426785,0.036659956,0.7974247,6
-0.2296189,-0.29088116,-0.8710091,0.346572,6
-0.57615966,-0.80781263,-0.359367,0.5209187,6
0.43494344,-1.0,0.8653058,0.19747674,6
-0.25979277,0.7070658,0.517745,-0.27832007,6
0.55356705,-0.24768865,-0.9751364,-0.6311908,6
-0.3199886,0.85604,-0.5295941,-0.3638236,6
-0.6915939,-0.83548784,-0.8761184,-0.004193807,6
-0.48354882,0.25406575,0.5660501,-0.2052239,6
0.10403502,-0.015128776,-0.8270476,0.23926902,6
0.615078,-0.57665867,0.10898849,-0.49293655,6
-0.38290548,-0.81609046,0.8323399,-0.032989383,6
0.6173228,0.82722735,0.635725,-0.28211105,6
-0.12734616,-0.7988553,0.1081475,0.21808434,6
0.43151057,-0.13699666,-0.49943194,0.9097964,6
-0.60256946,0.52529186,-0.75755,-0.6057335,6
0.976997,1.0,0.81652474,-0.7256838,6
0.13875848,-0.85092235,-0.74041116,0.6252625,6
0.4441899,-0.8128567,0.038522482,-0.21553671,6
0.95226043,0.25566626,-0.5813074,0.19854343,6
-0.025675701,-0.80675197,0.87255275,-0.17398185,6
0.49324396,-0.35297436,-0.2669034,-0.8499583,6
0.29763377,0.60824144,-0.9631895,-0.48975334,6
0.30722606,-0.8575958,-0.78053486,0.646065,6
-0.9822583,1.0,0.04534422,0.13196552,6
0.31640887,0.9343398,-0.8819869,1.0,6
0.7750503,-1.0,0.7512667,0.5364635,6
0.67166215,-0.9489182,1.0,-0.5007684,6
-0.30513325,1.0,0.40716547,-0.3391894,6
0.018155083,0.31994402,0.27637446,0.62641114,6
-0.48385555,-0.49766004,-0.9647268,0.9017143,6
-0.5001578,0.22604346,-0.7098871,0.44745445,6
-0.51880914,0.30276722,-0.98858595,0.6073804,6
0.33502775,-0.88822985,-0.7167182,-0.5618814,6
-0.1496911,0.84288764,-0.09880102,0.35162592,6
-0.8462819,-0.21891087,-0.33567607,-0.44840378,
-1.0,0.39186227,-0.5618689,0.21990103,
-0.5353341,-0.253518,-0.91033566,0.31712246,
0.15534756,-0.12726021,-0.71267146,-0.33786166,
-0.7425018,0.06390154,-0.24775392,-0.05319471,
-0.51418275,-0.37163377,0.575983,-0.120325565,
-0.20411274,0.60042477,0.35591912,-0.7433505,
-0.17251182,0.71921194,0.96297216,-0.368658,
-0.3699863,-0.9340774,0.18364087,0.4739554,
-0.3672788,-0.9233681,-0.87941146,0.17427415,
-1.0,-0.040612847,0.35795772,-0.31873733,
-0.896571,-0.16639149,-0.5961499,0.042860985,
-0.15874672,-0.26961884,-0.9312849,-0.9151833,
-0.4887986,-0.7931272,-0.5489117,0.5061323,
-0.5364683,-0.99694973,0.9614099,0.11858857,
1.0,0.39766073,-0.98273754,-0.41424367,
0.7916709,0.05867198,0.04939267,-0.44561005,
-0.41656804,0.5877409,-0.090998024,0.6432556,
1.0,0.8873785,-0.31742868,0.9556563,
-0.31902713,0.42120838,-0.8705504,0.15566824,
0.26444554,0.26287204,-0.98127806,-1.0561943E-4,
0.44428864,-0.5047059,0.6856558,0.5489688,
0.17605412,-0.67462635,-0.8056847,-0.117209435,
0.7563145,-0.399941,-0.95059836,0.5938994,
-0.20505738,-1.0,-0.54987013,0.58476007,
0.012904525,0.19209313,-0.6855346,-0.51711583,
-0.3837124,0.675091,-0.8313925,-0.34132552,
-0.34484458,0.12092301,0.20225024,0.04456699,
0.6989907,-0.35144338,-1.0,0.08701858,
-0.8658774,-0.23684382,1.0,-0.97985286,
-0.644361,0.9217621,0.5298989,0.42707902,
0.6814792,0.24555275,-0.26437697,-0.52103734,
0.7340294,-0.04279697,0.6688236,0.07713017,
0.1528027,-0.8781842,-0.6781012,0.8189834,
