L0,L1,L2,L3,L4,Graph
-0.3336031,0.88260823,-0.86395574,-0.85246557,-0.028205752,5
0.62919855,-0.1399361,-0.16915631,1.0,1.0,5
-1.0,1.0,-0.33048177,-0.61867046,-0.91678065,5
0.5201975,-0.97215277,0.44684705,1.0,1.0,5
0.46961144,0.4033494,-0.88257146,-0.89584947,-0.15406676,5
1.0,0.9851259,-0.28325337,-0.3780604,0.768285,5
-1.0,-1.0,-0.7222946,-0.5536118,0.17607968,4
0.62143797,0.52508056,-0.069887534,-0.9828322,-0.7652435,4
0.23096777,1.0,-0.5826038,0.7842937,-0.60468024,4
-0.06535008,-1.0,0.8105908,0.78116685,0.6065618,4
0.68092346,-0.03627181,-1.0,-0.2005432,1.0,5
0.6622865,0.787014,0.73943764,-0.6650164,-0.1622909,5
0.7121252,-0.2324472,0.057878837,-0.9402459,0.98853457,5
-0.84134746,0.07474613,-0.4956933,0.6034716,-0.69094837,5
-1.0,0.7417504,0.84097356,0.3794617,0.86117446,7
0.48884755,-0.6759808,0.54549646,0.17827664,-0.2780665,9
0.6096598,0.59906495,0.71730536,0.9727713,0.38970527,13
-0.79568285,-1.0,-0.5183461,0.3998879,0.1953069,13
0.6752774,0.180136,0.3370006,-0.27200896,-0.52610666,13
0.61564475,0.5887823,-0.10570717,-1.0,-0.7161948,13
0.8461491,0.39812323,0.67915636,0.97874457,0.28453487,14
-0.88655084,0.19412747,0.84841794,-0.89721537,0.11893861,16
0.20139505,0.9041734,0.73981833,-0.5905054,-1.0,20
0.7457656,0.11166778,0.3113721,1.0,0.6655507,20
-0.22909838,0.035643443,0.36179587,1.0,-0.88879246,19
-0.6324124,-0.8490983,-0.73730314,-0.2727229,-0.9646302,26
-0.68099,-0.9213428,0.33973923,-0.29346973,-0.35882926,26
0.6962162,-0.69720566,0.5510671,-0.19568385,0.7285926,28
-0.58910656,-1.0,-0.50253093,-1.0,-0.31610274,30
0.32034224,0.1915347,-1.0,-0.5703265,0.38306117,33
1.0,0.09289035,1.0,0.56191164,0.25160146,39
0.16944662,-0.09986287,-0.09464966,0.7575596,0.31242839,39
0.817898,-0.3910651,1.0,0.5571485,0.7875535,39
0.6853333,-0.14299686,-0.65156674,0.07965425,0.10231823,43
-0.9000017,-0.22657844,1.0,-0.89664423,0.7693646,43
-0.4702332,-0.5083474,0.4585812,-0.517835,1.0,43
0.81347257,0.21077257,0.969352,0.7810462,1.0,77
-0.060935557,0.8421769,-0.08203035,-0.26019007,-0.5092502,77
-1.0,1.0,0.42826834,-0.9502072,0.96041256,77
0.57902855,0.453878,-0.67959696,0.4133972,0.36613137,77
0.339947,-0.31157127,0.16976443,0.30972618,-0.6775962,77
0.014491349,1.0,0.82254434,1.0,0.32352126,77
0.6816528,-0.79937756,-0.7553939,-0.40030745,0.47543025,74
1.0,0.5153428,-1.0,1.0,-0.9867299,77
0.23565924,-0.42079547,-1.0,0.9792554,0.72798645,77
0.2183446,0.874513,0.44083008,-1.0,0.11244309,77
0.72274464,-1.0,0.19975728,0.93240225,-1.0,75
0.64315474,0.3865318,0.15329981,-1.0,0.172791,75
-0.23006287,0.033014283,-0.20832916,1.0,-0.27848828,75
-0.8831226,-1.0,0.9473841,0.6137127,-0.51632315,75
-0.8165715,-0.32847482,-0.40157634,0.31388885,0.18444407,75
-1.0,0.94290483,-0.24317488,-0.59478754,1.0,75
1.0,1.0,-0.7752927,-0.040597692,0.37109298,75
-0.2051862,1.0,0.094902664,-0.92781615,-0.34107322,75
-0.067944914,-0.2884963,-0.17964724,0.696409,0.9675635,75
-0.5523417,0.7692297,0.6490649,0.9292066,-0.62328136,75
-0.014570281,-0.4545125,-0.8670205,1.0,-0.77262294,75
-0.820391,-1.0,0.69423294,0.28833523,-0.61689705,75
0.079576194,0.39236706,0.30560255,-0.31302476,0.7881082,75
-0.008242097,-0.5361611,0.70056295,0.019547462,0.6767848,75
0.48782066,0.5095991,-0.9703955,0.054854445,-0.4312452,75
0.79569185,0.119524136,-0.9460763,-0.89566296,0.14085424,75
-0.50293154,-0.5980531,0.41653326,-0.29809782,0.48802283,75
0.9860432,-0.06713097,-0.9498154,-0.7250832,0.54103833,75
-0.7350818,-0.97068805,-0.548836,0.477591,0.15951252,75
0.5967973,-0.63286793,-0.12408495,0.36733708,0.47499505,75
0.4106763,-0.5180893,0.937576,0.5126055,0.08796074,75
-0.5048482,-0.36866924,0.38663018,-0.8604374,0.73893726,76
