generation,score,runtime
0,0,18024361
1,3,
2,4,
3,4,
4,7,
5,12,
6,12,
7,11,
8,13,
9,13,
10,14,
11,20,
12,21,
13,22,
14,29,
15,29,
16,41,
17,41,
18,51,
19,51,
20,49,
21,49,
22,49,
23,49,
24,47,
25,47,
26,47,
27,47,
28,47,
29,47,
30,47,
31,78,
32,78,
33,78,
34,78,
35,78,
36,78,
37,67,
38,67,
39,70,
40,76,
41,76,
42,75,
43,75,
44,77,
45,77,
46,77,
47,77,
48,77,
49,77,
50,77,
51,77,
52,77,
53,77,
54,77,
55,77,
56,77,
57,77,
58,77,
59,77,
60,77,
61,77,
62,95,
63,95,
64,89,
65,89,
66,89,
67,94,
68,105,
69,112,
70,112,
71,112,
72,112,
73,112,
74,112,
75,112,
76,112,
77,112,
78,103,
79,109,
80,109,
81,118,
82,118,
83,144,
84,144,
85,144,
86,144,
87,144,
88,144,
89,144,
90,144,
91,142,
92,142,
93,148,
94,148,
95,146,
96,146,
97,146,
98,146,
99,149,
100,150,
101,150,
102,150,
103,150,
104,150,
105,150,
106,150,
107,150,
108,150,
109,150,
110,150,
111,150,
112,147,
113,147,
114,147,
115,147,
116,147,
117,147,
118,147,
119,147,
120,147,
121,147,
122,147,
123,147,
124,147,
125,147,
126,147,
127,147,
128,147,
129,147,
130,147,
131,147,
132,147,
133,147,
134,147,
135,147,
136,147,
137,147,
138,147,
139,147,
140,147,
141,147,
142,147,
143,147,
144,147,
145,147,
146,147,
147,147,
148,147,
149,147,
150,147,
151,147,
152,147,
153,147,
154,147,
155,147,
156,147,
157,147,
158,147,
159,147,
160,147,
161,147,
162,147,
163,147,
164,147,
165,147,
166,147,
167,147,
168,147,
169,147,
170,147,
171,147,
172,147,
173,147,
174,147,
175,147,
176,147,
177,147,
178,147,
179,147,
180,147,
181,147,
182,147,
183,147,
184,147,
185,147,
186,147,
187,147,
188,147,
189,147,
190,147,
191,147,
192,147,
193,147,
194,147,
195,147,
196,147,
197,147,
198,147,
199,147,
200,147,
