L0,L1,L2,Graph
-0.9271149,0.22426672,0.58977187,4
-0.20893827,1.0,0.5004277,4
0.9469009,0.49079198,-0.18568158,4
-0.37486914,-0.80209655,-0.79482335,4
0.7509755,0.9211791,-0.4620429,4
-0.55996656,-0.3857862,-0.14335829,4
-0.9583051,-0.38657224,0.6894423,4
0.14225364,-0.18266526,0.19226512,6
0.3263495,1.0,-0.6897015,7
0.06962922,-0.66007,0.222529,9
0.030515581,-0.07150319,-0.54723144,18
0.44276237,0.5801462,0.17657506,19
-1.0,-0.38698187,0.28166264,19
-0.645264,-0.22097825,-0.68935907,19
0.06474717,0.18467784,1.0,38
1.0,-0.14695342,0.12448019,38
-0.502358,-0.445636,-0.39421645,38
0.5426556,0.37944144,0.7165267,38
-0.028545693,-0.010163426,-0.05510488,43
-0.3435507,-0.08678591,-0.30537584,43
-0.8742012,-0.3659863,0.916523,43
1.0,-0.5931262,-0.7094089,43
0.52174354,-1.0,0.036044016,43
0.30168954,-0.103672996,0.79843533,43
0.5735461,-0.67179304,-0.13884565,43
-0.33240634,-1.0,-0.84472626,43
-0.69120467,0.04357189,0.050984606,43
0.23167071,-0.25253826,-1.0,54
-1.0,0.9001313,-0.28885138,54
0.32846314,0.12809551,-0.75834155,54
-0.6652516,0.023477575,-0.67753404,54
-0.8049523,0.56547076,-0.72755736,54
0.18559551,0.72797257,-0.8585511,54
0.6863493,-0.023600116,0.1441569,54
0.26286948,0.87443256,1.0,55
-0.5374162,-0.302738,1.0,55
0.179709,-0.80124056,-0.010908447,55
1.0,-0.016308665,-0.01593408,58
0.27353674,0.21883798,-0.33845627,58
0.9973743,0.21551535,-0.6685928,60
0.89201474,-0.8380862,0.9329113,60
-0.3891245,0.046246864,-0.73235255,60
-0.0035826862,0.7762422,0.3489118,60
0.4131266,-0.8016386,-0.62526643,60
0.7912035,0.121831834,0.596431,60
-0.79359865,-0.18325119,0.05590739,60
-0.41742685,0.6326419,0.6417173,60
-1.0,-1.0,0.43756384,68
-0.58478403,0.23431197,-0.44881248,68
-0.96288466,0.3285713,0.09753229,67
1.0,0.31034133,0.1493204,
-0.95695674,-0.38454884,0.910141,
1.0,0.6102295,-0.36148816,
0.33267295,-1.0,0.64964324,
-0.5862008,-0.4981895,0.38208908,
-0.094931595,0.19267838,-0.04695965,
-0.16041219,-0.34005842,-0.88758063,
-0.24271047,-0.7491127,-1.0,
0.8542217,-0.5988356,0.851146,
0.36828136,-0.2899149,0.788415,
0.5069185,0.95558417,0.004911557,
0.4796198,-0.44127637,-0.48864573,
-0.9694552,1.0,-0.106676236,
0.43624336,0.11560178,-0.7102791,
0.6851212,0.30499876,-0.5538904,
0.40115035,1.0,-0.5237677,
-0.33107436,-0.08925122,-0.048769638,
0.2133373,-0.40213123,-0.9495023,
-0.7279892,-0.4091463,0.39742613,
-0.66387004,1.0,1.0,
0.5396743,-1.0,0.8538356,
-0.17815906,0.09880924,0.49092618,
-1.0,0.47984543,0.40401736,
-0.34368828,0.84983754,0.93612874,
-0.7883688,-0.087776944,-0.47175652,
0.9432987,0.8586968,-0.8042295,
0.040629372,-0.92784727,0.18658304,
0.60684496,-1.0,0.87512934,
-0.61289144,-0.79952157,0.16395155,
-0.4717459,0.37290192,-0.030650645,
-0.63953,0.5427363,-1.0,
0.32241836,0.9705595,0.2756279,
0.8400818,-1.0,-0.98904455,
0.94803005,-0.17548114,0.58472407,
0.030059706,-0.24863389,0.5090235,
-1.0,0.39725742,-0.412091,
-0.71445704,-0.79743505,-0.99311674,
-0.11642736,0.7505005,1.0,
-0.98191243,0.28552616,0.060795307,
-0.84976614,-0.2577824,0.94192,
0.6605653,0.026332289,0.22873682,
0.24436745,0.59700596,-0.5807752,
-0.7164669,-0.014270827,0.5649522,
-0.91120625,-0.08099238,-0.6075655,
-0.4913475,0.030131638,-0.120184034,
-1.0,1.0,0.8800341,
0.6363136,-0.0045392886,-0.20969021,
0.10805045,1.0,-0.32452685,
-0.03189127,-1.0,0.5623965,
0.9772563,0.66819406,-0.19438148,
-1.0,-0.7347418,,
-0.20157054,0.34617722,,
-0.24437158,-0.8230713,,
-0.70676893,-0.20767796,,
-0.45007294,-0.22301295,,
0.5366519,0.1426665,,
-0.9844755,-1.0,,
-0.7822855,0.08986792,,
-0.18295442,1.0,,
1.0,0.292516,,
0.79954785,-0.92657214,,
-0.93003476,-0.62164,,
1.0,-0.059272863,,
-0.15897582,-0.16759884,,
0.13149317,1.0,,
-0.00427936,-0.4381826,,
0.108331814,0.14013031,,
-0.07902668,0.8350133,,
0.7506817,0.52509636,,
1.0,-0.3495856,,
0.915471,-0.20428349,,
-0.586761,0.9205632,,
-0.8717515,-0.37760857,,
1.0,-1.0,,
-0.41502383,1.0,,
0.26684266,-0.07600348,,
-1.0,-0.94965714,,
0.98047876,0.88267255,,
-0.55323726,-0.86943626,,
0.67823863,0.047323436,,
-0.3192426,-0.85019094,,
-0.33076584,0.3570695,,
0.79510605,0.14247057,,
-0.76697,0.17583501,,
1.0,0.44249678,,
1.0,-0.5199268,,
-0.5581661,-0.68811285,,
0.017540433,0.10733478,,
0.33656937,0.903378,,
1.0,-1.0,,
0.44676024,-0.1870142,,
1.0,-0.11460668,,
0.003119029,-0.7907527,,
0.76781785,-0.2998595,,
-0.48678732,0.8445127,,
0.5083096,-0.3789727,,
-0.66234815,0.22923821,,
-0.028752655,-0.5922761,,
-0.73148084,1.0,,
-0.75631624,-0.7384476,,
-0.3368338,0.2773691,,
1.0,-0.4312273,,
-0.8698699,-0.31120765,,
-0.027466595,-0.73910016,,
-0.63479173,0.917634,,
-0.85226005,0.71602166,,
-0.5278554,0.63692755,,
0.99694455,-0.5979935,,
-0.84693426,-0.045230865,,
-0.80559206,0.7635951,,
0.3174069,0.50498086,,
-1.0,0.8889599,,
0.16732277,0.25206655,,
0.76800805,-0.70278716,,
0.33179823,0.5882901,,
0.4154865,-1.0,,
-1.0,0.89203614,,
-0.4723436,-0.80244327,,
0.2648985,-0.40786093,,
-0.35373944,-0.5853916,,
-0.18273422,1.0,,
-0.06853806,0.9670211,,
0.8225255,0.43182647,,
-0.48552305,-1.0,,
-1.0,0.3144771,,
-0.9048214,0.51681054,,
-0.64439857,-1.0,,
-0.26113552,-0.9804379,,
0.1912057,0.6208509,,
0.65659374,-0.23431748,,
1.0,-0.49520427,,
1.0,0.4228254,,
-0.19005188,0.9296679,,
1.0,0.5567782,,
-0.2308299,0.5292595,,
0.14736718,1.0,,
0.86000824,0.5721904,,
-0.47251803,0.61271435,,
1.0,0.2039693,,
-0.52703184,0.24416557,,
0.46973962,-0.43679586,,
-0.54689854,0.71973383,,
-0.04349611,0.40284178,,
-0.74873376,-0.8471452,,
-0.7059047,-0.94634914,,
0.3507649,-0.62794715,,
-0.68105,-0.5156946,,
-0.51965326,-0.8577877,,
-0.12990263,0.7637253,,
-0.6483327,0.40951043,,
0.25940737,-0.046597,,
0.8046828,-0.75664437,,
0.40916258,-0.5430995,,
-0.30436406,-0.5747278,,
0.20139895,-0.39333886,,
-1.0,-0.34623396,,
0.07136038,-0.7829205,,
1.0,-0.7419592,,
0.48686147,-1.0,,
-0.9391958,-0.5025694,,
0.1428453,-0.590831,,
0.8404126,1.0,,
-0.7667261,0.39663285,,
-0.011298329,0.47699368,,
0.13732085,0.64288193,,
-0.8038357,0.17040442,,
0.32642132,0.05998335,,
-0.029609863,-0.22948964,,
-0.5495093,0.79382896,,
0.42431355,0.6797679,,
-0.6747572,0.08129704,,
-0.9723618,0.21339051,,
0.38118377,-0.97547066,,
-0.5712447,0.659793,,
-0.082731046,-0.43194473,,
-0.20986865,0.32857054,,
1.0,-0.17001478,,
-0.38155565,0.5549299,,
-0.008327566,0.39750287,,
0.5637824,-1.0,,
0.31113628,0.024977192,,
0.61449814,-0.5430581,,
1.0,0.79094213,,
0.24682127,0.44160995,,
-0.02948898,-0.44999936,,
-0.59207547,-1.0,,
0.9950346,-0.3245703,,
