L0,L1,L2,L3,L4,Graph
-0.12649581,-0.8799834,-0.4567766,-1.0,0.5006087,5
0.9342191,-0.80602956,-0.85176766,-0.8400751,0.23304501,5
0.06398594,0.20477968,-0.173437,-0.7965051,-0.9637732,8
-0.47310722,0.1971133,0.3880124,-0.5125361,0.23084019,9
-0.93518955,-1.0,0.0547961,0.2864718,0.62266994,9
-0.26503754,0.1235439,-0.5309504,0.64671874,-0.8738766,14
0.8393851,-0.7177885,0.7907545,-0.9717023,1.0,14
0.11485196,-0.75485474,0.32608548,0.5707587,-0.4539792,14
0.3754841,-0.7258324,-0.44975513,0.4630226,-0.4515763,14
-0.8655253,-0.21732031,-0.8958368,-0.3456457,-0.4249019,17
-0.72282076,-0.64351326,0.43005657,0.94750327,-0.10917732,19
0.14926147,-0.9707382,-0.64922863,-0.9374759,-0.04241506,19
0.94412464,-0.15617728,0.45413935,0.8167288,0.56308544,19
0.7580832,0.96166223,-0.44588003,1.0,-0.6870114,19
-0.008611806,-0.8336647,0.9044831,-0.3988431,0.3963132,19
0.55839527,0.110531524,0.047672898,-0.47396046,0.08810298,19
-0.47014713,-0.60786086,1.0,-0.100467265,-0.054509252,19
1.0,1.0,0.58298826,-0.66196203,0.15885226,19
0.525281,-1.0,-0.3950162,0.35375255,0.612785,19
-0.58002126,-0.95125955,-0.35673246,0.65388566,-0.41807178,33
-0.62265265,-0.98736644,0.29633832,0.51668197,0.33985877,33
-0.7299151,-0.03562683,-0.1306179,0.30704227,-0.7796943,32
-0.41112417,0.65159047,0.63873863,0.8043221,0.57479775,32
-0.12828669,-0.4154389,0.46600977,0.5491874,-0.14386211,32
0.8797504,-0.6611405,0.8641416,-0.52020514,0.71356547,32
-0.55281943,-0.50982606,0.99804413,-0.3874477,-0.7578907,32
-0.045825243,0.06654702,1.0,-0.11222416,-0.93006086,32
1.0,-0.23641348,-1.0,0.66346174,-0.8668066,36
0.05412917,-1.0,-0.89570236,-0.5109726,0.50881904,36
-0.053077564,0.4631083,-0.60906595,-0.8129351,-0.13416173,36
0.47654405,-0.3431431,0.23040766,0.649519,0.056022316,36
0.059734963,-0.69798845,0.35568184,0.044489294,-0.06106943,36
0.016582668,0.72306925,-0.8712073,0.9448061,0.24502076,36
-0.14057417,-0.88342655,-0.5376608,0.6891905,-0.6763081,47
0.57745534,0.8499305,-0.57939446,0.4588533,0.41412377,47
0.77173483,0.67637,0.6735468,0.670874,0.49936938,47
-0.84057224,-0.26320052,0.5936247,0.20834148,-0.33246222,44
0.85898495,0.7315108,0.94734645,0.5538156,-0.5756777,53
0.52813894,-0.9133642,-0.22439893,0.030513287,0.31132838,50
0.82307285,0.23525621,-0.032205135,-0.6090382,0.5102457,50
-0.10984439,0.64881676,-0.8380366,-0.6492015,-0.734352,50
-0.37906048,-0.8446729,0.75089234,-0.8432255,0.18317606,53
0.44684497,-0.48557153,-0.7383892,0.92812073,1.0,56
0.9144229,1.0,0.69496644,0.13622081,0.018573627,56
-0.95350975,-0.06867163,-0.9851867,0.27700242,-0.24986266,56
-0.7924753,-0.22843297,0.9158995,0.02522821,0.8296317,67
0.7422391,0.8880825,0.39966887,-0.51701367,0.29084617,67
0.10925689,0.78167325,-0.35906506,-0.5578718,0.25922358,67
-0.49959388,-0.7763219,0.5703347,0.50658417,0.53303784,67
0.15081397,0.11626894,-0.7483491,0.58992267,-1.0,76
-0.8650434,-0.5236727,-0.08889148,-0.62186044,0.63580936,
-0.80878806,-0.10204464,-0.41663986,-0.3577845,0.77454,
0.5338657,0.4134213,-0.18145478,-0.85216177,0.39816198,
-0.5644388,-0.3032488,-0.33297524,-0.5351944,0.2899026,
1.0,-0.0019068718,0.7491967,-0.7118424,0.8447131,
0.41257396,-0.1863714,0.68797463,-0.17101802,0.15406203,
-0.581807,-0.12657906,-0.66310847,-0.41779733,0.49391252,
0.5397681,-0.7770963,-0.7197152,0.6929754,-0.042191043,
0.44411457,0.8526814,-0.13105023,-1.0,-0.42647588,
0.32425013,0.901579,0.3917011,-0.11580065,-0.36056113,
-0.7301582,-0.7104787,-0.50998175,-0.4188238,-0.4528673,
0.8251104,0.4728939,0.1298899,0.40759206,-0.35740173,
-0.9368061,0.52023005,0.9749627,-0.12322676,-0.68645275,
-0.48048025,-0.24053936,-0.6108494,-0.12774494,-0.076848716,
-1.0,0.16514127,-0.5943872,1.0,0.08722818,
-0.5763111,0.28918567,0.24480437,0.69464827,1.0,
-0.10657254,-0.8476256,0.019283742,0.8356807,0.0544264,
0.6498629,-0.18741605,-0.74660844,-0.39465824,-0.8470083,
-0.927544,0.20670933,0.1444776,-0.24902415,,
0.29933304,-0.25489736,-1.0,0.044726998,,
1.0,0.7303981,0.43811604,-0.22401223,,
0.19484422,-0.8426055,-0.537802,-0.06876457,,
-0.20893665,-0.9935602,0.06694211,-0.765769,,
-0.10360317,-0.35370356,-0.9655175,-0.1315835,,
-0.22791772,-1.0,0.4461769,-0.9046329,,
-0.8333695,-0.011997234,-0.25885117,-0.3400799,,
-0.69904166,0.8700638,-0.5643675,0.7902528,,
-0.6321588,-0.5400182,-0.56773996,0.39462528,,
0.4260347,-0.6569345,0.8935432,0.6484324,,
0.82841957,-0.26563132,0.9517352,0.59695673,,
0.27270642,0.12277362,-0.30891302,-0.38925928,,
0.9012085,-0.087891094,-0.26234016,0.029002786,,
-0.88758534,0.68847764,-0.6331994,-1.0,,
-0.24344218,-0.8043433,0.6175226,0.6698772,,
0.54655033,0.6523579,-0.07712581,-0.011100613,,
-0.23679128,0.13976522,0.04379517,0.50126004,,
1.0,-0.7787012,0.84695506,0.98098326,,
-0.43748462,0.86565316,-0.3649587,-0.17299241,,
0.44300187,-0.6244346,-0.851915,-0.5138362,,
0.6275021,-0.22083403,-0.8574793,0.10472381,,
0.17661604,0.004904747,-0.23239064,-0.20296018,,
0.06106162,-0.9622376,-0.7291517,0.7523687,,
0.26242828,-0.14713307,-0.8964766,0.6766196,,
0.5620101,-0.86638755,-0.12494567,-1.0,,
-0.05761808,-1.0,-0.8775971,0.49150848,,
0.8927267,-0.7792087,0.2905035,-0.60165346,,
-0.13763909,-0.38853547,-0.37617585,0.5691302,,
0.0043645464,-0.104311466,-0.71421796,-0.02713883,,
-0.578279,0.5516433,0.26009464,-0.460469,,
0.15233466,-0.20864338,0.52922875,0.94416183,,
0.802029,0.28862402,-0.19424179,0.56896996,,
-0.5949689,0.46809635,0.035969667,-0.691102,,
-0.8790662,0.42868552,-1.0,0.800234,,
-1.0,-0.29593992,0.16341609,-0.618273,,
0.19435209,0.14759058,-0.06494498,0.21046877,,
0.5251392,-0.8623487,0.31306183,-0.38335297,,
1.0,0.94163287,0.6538538,-0.3698986,,
1.0,0.12475197,-0.7268276,0.80969894,,
-0.9152598,-0.14881188,-0.7317047,0.105994195,,
0.7080905,0.6987869,0.38373324,0.60428345,,
0.15315858,-0.5885231,0.7433964,1.0,,
-0.021234348,-0.18148744,-0.9158183,0.21274029,,
0.3355304,-0.10875231,-0.1509743,-0.5184278,,
0.4038792,-0.8983119,1.0,0.76333123,,
0.3823783,-0.6215143,0.65400326,0.205452,,
-0.5358676,0.6018483,-0.05053588,0.44689268,,
0.3104624,0.9331443,-0.6331714,-0.28506854,,
0.07558909,0.42223287,-0.7192619,1.0,,
0.35579047,-0.010275081,-0.25207084,-0.85084647,,
0.94202393,-0.32447731,0.7228466,-0.6403609,,
-0.7494012,0.67066854,-0.89246,-0.09789883,,
0.6358864,-1.0,0.84146166,0.8079815,,
0.63145953,1.0,-1.0,0.16918986,,
-0.95583946,0.253376,-0.29395926,-1.0,,
-0.024966784,-0.33245534,0.4194486,0.9445161,,
1.0,-0.9117814,-0.18139225,0.3099561,,
-0.61976796,0.20864135,-0.09568064,0.28998995,,
-0.004210092,-0.65286016,-0.6407165,0.15957126,,
0.5458651,-1.0,0.13686708,0.7052,,
0.7310703,-0.534338,0.49771205,1.0,,
0.28032833,0.55625296,0.9042993,0.045148715,,
-0.6718542,-0.8108093,0.94985026,-0.81762004,,
-0.66511965,-0.7956212,-0.34494233,0.057450254,,
0.8412288,-0.33564085,-0.7793089,-0.6148116,,
-0.6360158,1.0,1.0,-0.30828893,,
-0.61017936,-0.18174013,-1.0,0.4133054,,
-0.065375686,-0.8677146,-0.5909534,0.7634151,,
0.0041728094,-0.6682335,0.8183371,-0.73556,,
0.787923,0.5826708,0.05594553,-0.31540674,,
-0.7560815,0.5184735,0.07001475,-0.54445404,,
0.28200147,-0.058829658,0.23175353,-0.6054381,,
-0.73082864,0.74272734,-1.0,0.9949786,,
-0.26582336,-0.33318183,-0.6490927,0.82634056,,
-1.0,-0.24266446,-0.9958088,0.5079156,,
-0.39154917,-0.07414737,-0.066697046,0.31143,,
-0.8800448,-0.19718704,1.0,0.44553345,,
-0.24715333,-0.9399588,-0.5423845,-0.09244801,,
-0.2809688,-0.34598938,1.0,1.0,,
0.6795816,0.7671493,0.77617097,-0.70782816,,
-0.19481173,-0.6779506,0.9160894,-1.0,,
0.07495758,-0.3456443,0.377648,0.2617046,,
-0.7118029,-1.0,0.7109971,0.80917245,,
0.64554083,0.21333176,-0.21316954,-1.0,,
0.020333767,0.93529093,-1.0,0.4493838,,
-0.25926852,0.74402225,-0.048355535,-0.60140353,,
-0.057768106,-0.7837034,1.0,-0.9685532,,
0.9528315,-1.0,-0.5744338,-0.7796427,,
-0.99840444,-0.52257794,0.12667887,0.39700443,,
-0.22805217,-0.8349812,0.24078843,1.0,,
0.59088904,0.76661706,0.012660876,0.050536096,,
0.81154,0.10876261,0.14546642,0.71001565,,
0.16137555,0.37387806,0.3730384,-0.51420796,,
0.41305077,-0.14298749,-1.0,-1.0,,
-0.72596955,1.0,-0.018382251,0.5715905,,
0.6046701,-0.9167543,0.21192953,0.9548819,,
0.030540988,0.020826489,-0.21715245,-0.53067553,,
-0.25701824,-0.24515629,-0.021661744,0.12170312,,
-0.40408048,-0.23302963,-0.049231976,-0.85130155,,
-0.562561,-0.8894139,-0.86609,-0.70627195,,
-0.2376423,-0.7254697,0.7499833,-0.9815332,,
-0.3820337,0.050030738,0.9072366,-0.44729626,,
-0.93248206,-0.5473488,0.084207416,-0.21668053,,
1.0,0.5618268,0.23127763,-0.9511616,,
0.122982144,-0.99620473,-0.87314475,-0.12427199,,
0.22091956,-0.029693931,-0.53136367,0.0914888,,
0.2359316,-0.69831157,-0.30035442,-0.6384113,,
-1.0,-0.048191756,0.16876706,-0.021388456,,
-0.71890295,-0.012485921,-0.14564905,0.03787446,,
-0.70937693,-0.3351972,0.29224735,-0.26098937,,
-0.51084024,0.21610153,-0.40584534,0.05192682,,
0.2867936,0.12142345,0.8497697,0.17287153,,
-1.0,-0.54958063,-0.84599125,0.07057767,,
-0.5197127,-0.29891744,-0.08191199,-0.08169854,,
0.1342026,0.029150218,-0.97694916,0.80559194,,
0.7331676,0.3922487,-0.016133808,0.041749537,,
-0.80029786,0.47294077,-0.4586829,-0.39159322,,
-0.47945848,-0.055213243,0.74111956,-0.21354195,,
0.53782636,-0.3651153,-0.54471457,0.037544787,,
-0.08388875,-0.98509717,-1.0,-0.525772,,
-0.14578247,-0.8268216,-0.656463,-0.23322728,,
