generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,2458342,855054,2130514,622849,1555090,1011519,520262,1340813,1745246,1261507,1930424,1002920,946642,1293890,780081,685213,1298294,835668,402641,920889
1,4,4,4,3,4,5,4,5,4,3,4,4,4,5,4,9,4,3,3,7
2,4,7,4,5,6,5,5,4,5,6,4,6,5,6,4,10,4,4,5,10
3,6,8,5,5,13,8,5,4,7,6,5,6,5,13,4,15,4,4,5,13
4,10,10,7,7,24,13,7,5,9,6,5,6,5,19,4,18,6,6,5,12
5,17,16,18,13,20,21,12,6,9,6,5,6,5,19,7,22,6,7,5,18
6,24,16,28,13,25,21,17,6,11,6,5,6,6,23,7,25,6,15,6,18
7,28,16,32,13,36,18,18,6,14,6,7,11,18,23,7,26,6,24,6,19
8,34,16,44,14,36,23,18,8,15,6,10,26,25,20,7,26,6,24,6,19
9,33,16,44,21,36,24,21,10,15,8,12,29,25,20,7,26,6,24,6,19
10,40,17,44,21,39,24,21,12,16,13,35,35,30,25,13,25,6,27,8,19
11,42,25,46,21,47,24,21,17,19,13,42,35,35,29,18,25,6,27,8,17
12,51,25,49,21,58,25,21,24,21,14,47,31,35,29,18,25,9,43,8,17
13,51,25,61,28,58,23,21,33,28,15,52,35,38,30,18,33,9,43,10,17
14,58,25,61,28,58,33,21,33,31,22,58,35,38,40,18,33,9,43,11,17
15,57,23,67,28,58,33,21,37,29,22,58,34,44,42,17,35,9,43,12,25
16,63,28,67,28,64,34,23,37,36,22,58,34,44,39,15,35,18,43,16,26
17,63,28,82,30,65,52,23,37,32,26,63,70,63,38,21,35,18,43,16,32
18,64,28,82,30,65,52,23,37,32,26,63,70,63,38,21,35,27,44,18,32
19,64,28,82,30,65,52,27,43,39,38,72,70,63,46,21,35,27,46,18,32
20,71,28,90,31,65,65,27,43,39,33,76,70,63,46,19,35,28,46,29,32
21,71,41,87,37,73,65,27,50,42,33,76,70,62,55,23,35,30,46,29,32
22,71,41,87,38,73,65,27,50,42,33,82,70,65,68,20,35,30,46,29,32
23,71,41,100,39,73,65,32,50,52,41,86,69,65,68,20,35,30,59,29,32
24,71,41,95,39,75,65,32,50,57,47,86,69,65,66,31,35,30,59,29,34
25,71,40,95,41,75,71,35,57,58,64,87,69,65,66,31,35,30,59,29,34
26,71,61,95,42,79,75,35,57,66,68,87,69,65,66,35,35,36,65,29,34
27,71,55,95,47,79,75,35,57,75,78,87,69,65,66,36,35,54,65,29,27
28,80,55,95,52,76,76,35,57,75,78,88,69,67,75,36,35,66,65,29,39
29,89,55,94,52,76,76,35,78,75,87,88,69,67,73,46,40,75,65,29,53
30,89,72,94,52,78,77,40,78,78,87,85,76,67,73,46,40,75,65,29,53
31,97,72,94,52,78,77,40,86,81,93,85,76,67,73,56,40,75,73,29,54
32,97,72,94,55,77,77,40,86,81,95,92,80,67,73,52,40,75,73,29,59
33,97,72,94,55,77,77,47,91,89,95,92,80,67,75,52,40,75,73,36,67
34,97,76,94,55,77,77,47,91,93,95,92,80,67,75,68,40,75,73,36,67
35,95,77,94,55,78,77,47,98,93,95,92,80,74,75,68,40,75,73,36,71
36,95,77,94,55,78,77,51,98,87,93,97,80,74,79,68,51,75,73,36,82
37,95,83,94,65,78,77,60,98,87,93,97,80,74,83,70,51,81,73,33,82
38,96,83,94,65,85,77,60,98,108,93,97,80,70,92,70,52,77,74,38,82
39,96,83,100,65,85,77,67,98,108,93,97,80,70,92,70,56,84,74,38,82
40,96,83,100,65,97,77,67,109,108,96,97,80,77,92,70,51,84,74,33,82
41,96,83,100,65,97,77,67,109,108,96,97,80,77,92,70,51,89,74,44,82
42,96,84,100,65,93,77,67,109,108,104,97,80,77,92,71,66,89,80,44,82
43,96,84,105,65,93,77,67,109,108,104,97,86,80,92,71,66,89,80,44,82
44,96,84,105,65,93,75,71,129,108,99,97,86,71,92,76,66,89,74,44,85
45,96,88,103,65,93,75,71,129,108,99,97,86,71,92,72,75,89,74,43,85
46,96,88,103,65,93,75,71,129,108,99,97,86,71,92,73,75,89,74,43,85
47,99,91,103,65,93,75,71,118,106,94,97,86,77,92,73,75,91,74,56,93
48,99,95,103,65,93,75,71,118,106,94,97,86,77,92,73,75,91,74,56,89
49,99,95,102,65,93,75,74,118,106,106,97,86,77,92,73,75,91,74,56,92
50,99,95,102,65,93,75,74,118,106,106,97,86,77,92,75,75,91,77,56,92
