generation,score1,score2,score3,score4,score5
0,79243070,79856860,106756735,84901019,88289899
1,3,3,5,4,3
2,4,4,5,4,3
3,4,5,5,4,4
4,4,5,5,4,4
5,4,5,5,4,4
6,6,4,5,4,5
7,6,4,4,5,5
8,6,4,4,5,5
9,5,4,4,5,5
10,5,4,4,6,7
11,5,7,5,6,9
12,5,8,5,6,9
13,5,8,5,6,9
14,5,8,5,6,9
15,5,8,7,6,9
16,5,6,9,9,9
17,6,6,13,9,9
18,8,6,13,9,9
19,8,6,13,9,9
20,8,6,13,9,9
21,8,6,14,9,9
22,8,6,16,9,9
23,8,6,20,9,9
24,8,6,20,9,9
25,8,6,19,9,9
26,8,6,26,9,9
27,8,6,26,9,9
28,8,6,28,11,9
29,8,6,30,11,9
30,8,6,33,11,9
31,8,6,39,11,9
32,9,8,39,11,11
33,11,8,39,11,11
34,11,8,43,11,11
35,11,8,43,11,11
36,11,8,43,11,11
37,14,8,77,11,11
38,14,8,77,11,11
39,19,8,77,11,11
40,19,8,77,11,11
41,24,8,77,11,11
42,24,8,77,11,11
43,27,8,74,11,11
44,27,8,77,11,11
45,27,8,77,11,11
46,27,8,77,15,11
47,27,8,75,15,11
48,27,8,75,19,11
49,29,8,75,19,11
50,33,8,75,25,11
51,33,8,75,25,11
52,40,8,75,21,11
53,40,8,75,23,11
54,40,8,75,23,11
55,51,8,75,38,11
56,51,8,75,38,11
57,51,8,75,38,11
58,51,8,75,38,11
59,51,8,75,38,11
60,51,8,75,38,11
61,51,8,75,38,11
62,51,8,75,38,11
63,51,8,75,38,11
64,51,8,75,47,11
65,51,8,75,47,11
66,51,8,75,47,11
67,51,8,75,56,11
68,51,8,76,56,11
69,51,8,76,56,11
70,51,8,76,56,11
71,51,8,76,56,11
72,51,8,76,56,11
73,51,8,82,56,11
74,51,8,82,56,11
75,51,8,82,56,11
76,51,8,82,54,11
77,51,8,82,54,11
78,51,8,82,75,11
79,51,8,89,75,11
80,51,8,89,75,11
81,51,8,89,75,11
82,51,8,89,75,14
83,51,8,89,75,20
84,51,8,89,75,20
85,51,8,89,75,20
86,51,8,89,75,20
87,51,8,89,75,20
88,51,8,89,75,20
89,51,8,89,75,20
90,51,8,89,76,38
91,51,8,89,76,38
92,51,8,89,76,38
93,51,8,89,79,38
94,51,8,89,79,38
95,51,8,89,79,40
96,51,8,89,87,40
97,51,8,89,89,40
98,51,8,89,91,40
99,51,8,89,91,40
100,51,8,89,91,40
101,51,8,89,93,40
102,51,8,89,93,40
103,51,8,89,93,40
104,51,8,89,93,40
105,51,8,89,93,40
106,51,8,89,93,51
107,51,8,89,93,56
108,51,8,89,93,56
109,51,8,89,93,64
110,51,8,89,93,64
111,51,8,89,93,64
112,51,8,89,93,64
113,50,8,89,93,67
114,50,8,89,93,67
115,57,8,89,93,67
116,57,8,89,93,67
117,57,8,89,93,67
118,57,8,89,93,67
119,57,8,89,93,92
120,56,8,89,93,92
121,56,8,89,110,92
122,56,8,89,110,92
123,56,8,89,110,94
124,56,8,89,110,94
125,56,8,89,110,94
126,56,8,89,110,94
127,52,8,89,110,94
128,52,8,89,110,94
129,52,8,89,110,94
130,58,8,89,110,94
131,58,8,89,110,94
132,58,8,89,110,94
133,58,8,89,110,94
134,58,8,89,110,94
135,58,8,89,110,94
136,58,11,89,110,94
137,58,17,89,110,94
138,58,17,89,110,94
139,58,21,89,110,94
140,58,21,89,110,94
141,58,21,89,110,94
142,58,21,89,110,94
143,58,22,89,110,94
144,58,22,89,110,94
145,58,22,89,110,94
146,58,24,89,110,94
147,58,24,89,110,94
148,58,24,89,110,94
149,58,24,89,110,94
150,58,37,104,110,94
151,58,37,104,110,94
152,62,37,104,110,94
153,62,37,103,110,104
154,62,37,103,110,104
155,62,37,103,110,104
156,62,37,103,110,104
157,62,37,103,110,104
158,62,37,103,110,104
159,62,37,103,110,104
160,62,37,103,110,104
161,62,37,103,110,104
162,58,40,103,110,104
163,72,40,103,110,104
164,76,52,103,110,100
165,76,52,103,110,100
166,76,45,103,110,100
167,76,48,103,110,100
168,76,48,103,110,100
169,76,61,103,110,100
170,76,70,103,110,100
171,76,70,103,110,100
172,76,73,103,110,100
173,75,73,103,110,100
174,75,73,103,110,100
175,75,73,103,110,100
176,75,73,103,110,100
177,75,74,103,110,100
178,75,74,103,110,100
179,75,82,103,110,100
180,75,82,103,110,100
181,75,82,103,110,100
182,75,82,103,110,100
183,75,82,103,110,100
184,71,89,103,110,100
185,86,89,123,110,100
186,86,89,123,110,100
187,86,89,123,110,100
188,86,90,123,110,99
189,86,90,123,110,99
190,86,90,123,110,99
191,86,90,123,110,99
192,86,90,123,110,99
193,86,90,123,110,99
194,86,93,123,110,99
195,86,93,123,110,99
196,86,93,123,110,99
197,86,93,123,110,99
198,86,93,123,110,99
199,81,93,123,110,99
200,81,93,123,110,99
201,81,97,123,110,99
202,89,97,123,110,99
203,89,97,123,110,99
204,89,97,123,110,99
205,89,97,123,110,99
206,89,97,123,110,99
207,89,97,123,110,99
208,89,97,122,110,99
209,89,97,122,110,99
210,89,97,122,110,99
211,89,97,122,110,99
212,89,97,122,110,99
213,89,97,122,110,99
214,89,97,122,110,99
215,89,97,122,110,99
216,89,97,122,110,99
217,89,97,122,110,99
218,93,97,122,110,99
219,93,97,122,110,99
220,93,97,122,110,99
221,93,97,122,110,99
222,93,97,122,110,99
223,93,97,122,110,99
224,93,97,122,110,99
225,93,97,122,110,99
226,93,97,122,110,99
227,93,97,122,110,99
228,93,97,122,110,99
229,93,97,122,110,99
230,93,97,122,110,99
231,93,97,122,110,99
232,93,97,122,110,99
233,97,97,122,110,99
234,97,97,122,110,99
235,97,97,122,110,99
236,97,97,122,110,99
237,99,97,122,110,99
238,99,97,122,110,99
239,99,97,122,110,99
240,99,97,122,110,99
241,99,97,122,110,99
242,99,97,122,110,99
243,99,97,122,110,99
244,99,102,122,110,99
245,99,102,122,110,99
246,99,102,122,110,99
247,99,102,122,110,99
248,99,102,122,110,99
249,99,102,122,110,99
250,99,102,122,110,99
251,99,102,122,110,99
252,99,102,122,110,99
253,99,102,122,110,99
254,99,102,122,110,99
255,99,102,122,110,99
256,99,102,122,110,99
257,99,102,122,110,99
258,99,102,122,110,99
259,99,102,122,110,99
260,99,102,122,110,99
261,99,102,122,110,99
262,99,102,122,110,99
263,99,102,122,110,99
264,99,102,122,110,99
265,99,102,122,110,99
266,102,102,122,110,99
267,102,102,122,110,99
268,102,102,122,110,99
269,102,102,122,110,99
270,102,102,122,110,99
271,102,102,122,110,99
272,102,102,122,110,99
273,102,102,122,110,99
274,102,102,122,110,99
275,102,102,122,110,99
276,102,102,122,110,99
277,102,102,122,110,99
278,102,102,122,110,99
279,120,102,122,110,99
280,120,102,122,110,105
281,120,102,122,110,105
282,120,102,131,110,105
283,120,102,131,110,105
284,120,102,133,110,105
285,120,102,133,110,105
286,120,102,133,110,105
287,120,102,138,110,105
288,120,102,146,110,105
289,120,102,146,110,105
290,120,102,146,110,105
291,120,102,146,110,105
292,120,102,146,110,105
293,120,102,146,110,105
294,120,102,147,110,105
295,120,102,147,110,105
296,120,102,147,110,105
297,120,102,147,110,105
298,120,102,147,110,105
299,120,102,147,110,105
300,120,102,147,110,105
301,120,102,147,110,105
302,120,102,147,110,105
303,120,102,147,110,105
304,120,102,148,110,105
305,120,102,148,110,105
306,120,102,148,110,103
307,120,102,148,110,103
308,120,102,148,110,103
309,120,102,148,110,103
310,120,102,148,110,103
311,120,102,148,110,103
312,120,102,148,110,103
313,120,102,148,110,111
314,120,102,148,110,111
315,120,102,148,110,111
316,120,102,148,110,111
317,120,102,148,110,111
318,120,102,148,110,111
319,120,102,148,110,111
320,120,102,148,110,111
321,120,102,148,110,111
322,120,102,148,110,111
323,120,102,148,110,111
324,120,102,148,110,111
325,120,102,148,110,111
326,120,102,148,110,111
327,120,102,148,110,111
328,120,102,148,110,111
329,120,102,148,110,111
330,120,102,148,110,111
331,120,102,148,110,111
332,120,102,148,110,111
333,120,102,148,110,111
334,120,102,148,110,111
335,120,102,148,110,111
336,120,102,148,110,111
337,120,102,148,110,111
338,113,102,148,110,111
339,113,102,148,110,111
340,113,102,148,110,111
341,113,102,148,110,111
342,113,102,148,110,111
343,113,102,148,110,111
344,113,102,148,110,111
345,113,102,148,110,111
346,113,102,149,110,111
347,113,102,149,110,111
348,113,102,149,110,111
349,113,102,149,110,111
350,113,102,149,110,111
351,113,102,149,110,111
352,113,102,149,110,111
353,113,102,149,110,111
354,113,102,149,110,111
355,113,102,149,110,111
356,113,102,149,110,111
357,113,102,149,110,111
358,113,102,149,110,111
359,113,102,149,110,111
360,113,102,149,110,111
361,113,102,149,110,111
362,113,102,149,110,111
363,113,102,149,110,111
364,113,102,149,110,111
365,113,102,149,110,111
366,113,102,149,110,111
367,113,102,149,110,111
368,113,102,149,110,111
369,113,102,149,110,111
370,113,102,149,110,111
371,113,102,149,110,111
372,113,102,149,110,111
373,113,102,149,110,111
374,113,102,150,110,111
375,113,102,150,110,111
376,113,102,150,110,111
377,113,102,150,110,111
378,113,102,150,110,111
379,113,102,150,110,111
380,113,102,150,110,111
381,113,102,150,110,111
