generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
0,6520435,902309,4573030,3838940,5976061,4756515,6355031,5040119,3882564,1676981
1,4,3,3,4,4,3,3,3,4,3
2,4,3,4,4,4,3,3,4,4,4
3,4,4,4,4,4,3,3,4,4,4
4,4,4,4,4,5,3,3,5,4,4
5,4,4,4,4,4,4,3,5,4,6
6,6,4,4,4,4,4,4,5,5,6
7,6,4,5,4,4,4,4,5,5,6
8,6,4,5,5,4,4,4,4,8,6
9,6,4,5,5,4,8,4,4,8,6
10,6,4,5,5,5,8,4,4,11,6
11,6,4,5,5,5,9,4,4,11,6
12,6,4,8,5,6,9,5,4,11,6
13,6,5,8,6,6,12,5,4,12,6
14,6,5,10,6,6,12,6,4,12,6
15,6,5,12,6,8,12,6,5,22,6
16,6,7,14,6,8,13,6,5,34,6
17,9,7,14,6,8,15,6,7,34,6
18,9,7,14,6,8,20,6,7,34,6
19,9,7,14,6,8,20,6,7,34,9
20,9,7,14,6,8,20,6,7,34,9
21,9,7,16,6,8,20,6,7,34,9
22,9,7,19,6,8,21,6,7,34,9
23,9,7,19,6,8,21,6,7,34,9
24,9,7,19,6,8,21,6,7,34,9
25,9,7,19,6,8,21,6,7,34,13
26,9,7,19,6,9,21,6,7,34,13
27,9,7,19,6,12,21,6,7,34,18
28,9,7,19,6,12,33,6,7,34,17
29,9,7,26,6,16,33,6,7,34,17
30,9,7,26,6,16,33,7,7,34,17
31,9,7,34,7,19,33,25,8,29,17
32,15,7,37,7,19,33,24,8,29,17
33,15,7,45,7,19,33,24,8,29,17
34,15,7,46,7,19,33,24,8,29,16
35,13,7,46,7,19,33,26,8,29,16
36,13,7,46,7,19,33,46,8,29,16
37,13,7,46,7,19,33,52,8,29,16
38,13,7,48,7,19,33,52,8,29,23
39,13,7,48,7,19,33,52,13,29,23
40,13,7,48,7,19,33,58,13,29,23
41,13,7,48,7,25,33,58,18,29,23
42,13,7,48,7,25,33,58,19,29,23
43,13,7,46,7,25,33,58,26,29,23
44,13,7,46,7,25,33,58,26,29,23
45,13,7,46,7,25,33,58,26,29,23
46,25,7,46,7,25,33,82,37,29,23
47,25,7,52,9,24,33,82,52,29,23
48,29,7,62,12,24,33,82,52,29,23
49,54,7,62,11,24,33,85,52,29,22
50,54,7,55,16,38,33,91,52,29,22
51,54,7,55,16,52,38,91,52,29,22
52,54,7,55,16,52,38,91,56,31,30
53,54,7,55,23,52,49,91,56,31,30
54,54,7,55,23,65,49,91,66,31,30
55,54,7,55,50,66,49,91,66,42,30
56,54,7,75,50,73,49,91,78,43,30
57,54,7,84,50,79,49,91,78,53,30
58,54,7,84,50,79,49,91,75,53,30
59,54,7,84,50,79,49,91,75,53,30
60,54,7,84,50,79,49,91,77,53,30
61,54,7,86,50,79,49,91,77,53,30
62,54,7,86,50,79,49,91,82,53,30
63,54,7,86,50,79,49,91,82,53,30
64,54,7,86,50,79,49,91,82,53,30
65,60,7,86,50,79,49,91,91,53,30
66,65,7,86,50,79,49,91,91,53,30
67,74,7,86,50,79,51,91,91,53,30
68,74,7,86,50,84,51,91,91,53,30
69,74,7,86,50,85,53,91,91,53,30
70,74,7,86,50,85,53,91,91,53,30
71,74,7,78,50,90,54,91,91,53,30
72,74,7,78,50,90,54,91,91,53,30
73,74,7,78,50,90,54,91,91,53,30
74,74,7,78,50,90,54,91,91,53,30
75,74,7,78,50,90,49,95,91,53,30
76,74,7,78,50,90,56,95,91,53,30
77,74,7,82,45,90,56,95,91,53,30
78,74,7,82,55,90,56,95,91,53,30
79,74,7,82,55,90,54,95,91,53,30
80,74,7,87,55,90,54,95,91,53,30
81,84,7,87,55,90,75,95,91,53,30
82,84,7,87,55,88,75,95,91,53,30
83,84,7,87,55,99,75,95,91,53,30
84,84,7,87,55,99,76,95,91,53,30
85,84,7,87,55,99,76,95,91,53,30
86,84,7,86,55,99,76,95,91,53,30
87,84,7,86,55,99,92,95,91,53,30
88,84,7,86,55,99,92,95,91,53,30
89,85,7,86,55,99,91,95,91,53,30
90,85,7,86,55,104,91,95,91,53,30
91,85,7,86,55,104,91,95,91,53,30
