L0,L1,Graph
0.56089234,0.22493343,5
-0.7358357,1.0,8
-0.15942115,-0.10587302,18
0.90540445,-0.18827523,26
-0.96892375,-0.6938014,26
0.6315783,0.24401408,26
-0.0358454,-0.8586396,26
0.34035498,0.05559081,26
-0.36176026,-0.6165478,42
-0.504581,-0.82058924,42
0.24726112,0.2709481,51
-0.54906315,-0.36845496,51
-0.06583035,-0.7391745,51
0.42431864,0.15033525,51
-0.52688456,-1.0,51
-0.3478672,-0.23336118,51
0.4021533,0.5597743,70
-0.7501062,-0.16081437,60
-0.07469246,0.38807893,73
0.2057825,0.31474885,73
0.26995185,-1.0,72
-0.15250762,-0.379807,72
-0.5813379,0.6968549,72
0.6722963,-0.83134216,75
0.25715548,-0.674112,75
-0.4780017,-0.8008942,75
0.3356902,-0.9296165,75
-1.0,1.0,75
-0.63373864,-1.0,75
0.059374556,-0.5157194,75
0.48410702,-0.43532273,75
-0.07831672,-1.0,92
0.29479358,-0.5602887,90
1.0,-0.5172889,90
0.72377264,-0.41304216,92
-0.60875237,-1.0,92
0.12300725,-0.30004224,95
0.60207987,0.1795055,95
-0.51091766,-0.99610054,95
-0.87515765,0.59894437,98
0.11198497,0.26148653,98
1.0,0.9773774,98
-0.4400648,-0.083433494,98
0.6532477,0.45356548,98
-1.0,-0.18699464,98
-0.48223996,-0.7743598,98
-0.015084162,-0.8639398,99
0.24708487,0.91017735,99
0.26995212,-0.045698494,100
0.53353226,-0.5091547,100
0.19310126,-0.5002279,
0.30926058,0.35292,
-0.22679262,0.22916621,
-0.7562455,-0.038337156,
1.0,0.38114637,
-0.24069817,0.9369268,
0.37752396,1.0,
0.14868605,0.40681252,
0.898038,-0.90623784,
0.77961165,-0.67910874,
-0.021703918,0.29298028,
-0.39185214,0.11518358,
-0.48403382,-0.42068407,
-0.10971437,0.5217942,
0.8871333,0.5074159,
0.1378046,-0.66541487,
-0.89868045,-0.9208156,
-0.2759136,0.55944836,
-0.5935445,-0.087986544,
0.888571,-0.98149294,
0.88448125,-0.46642473,
0.18265629,0.8288527,
0.9498272,0.1324323,
-1.0,-0.42566675,
1.0,-0.08990666,
0.092078626,0.87016845,
0.9702986,0.6145221,
0.823123,1.0,
0.8335495,-0.70407236,
0.40423423,0.70720494,
-0.72759247,-0.116393514,
-0.5967157,0.50718296,
-0.3724522,-0.11907381,
-0.609067,0.124183,
0.47513133,1.0,
-0.8650461,-0.30598748,
-0.86666095,-0.9337422,
-0.11430529,1.0,
0.22647826,-0.8202077,
0.6211919,0.6162833,
0.17044789,-0.36028624,
0.18616875,-0.11557522,
-0.11229965,0.47716784,
-0.9125372,-0.91724885,
1.0,-0.95282954,
0.19558063,-0.9930191,
0.7519033,-0.76284176,
-0.41698688,-0.07239301,
-0.47483027,0.19763026,
1.0,-0.67960644,
-0.35927275,0.5495088,
1.0,-0.5181728,
0.12622541,-0.69238967,
-1.0,-0.8373053,
-0.8778596,-0.5450265,
-0.47927266,0.55200195,
0.7778783,0.85855746,
0.37232614,0.48088956,
0.9450329,-0.54642165,
0.67246866,-0.4806692,
0.0068861246,0.06388423,
0.43094796,-0.75195456,
-0.05202031,-0.3095055,
0.8940076,0.61654085,
-0.0051489174,-0.5832671,
0.86891836,0.31933028,
-1.0,0.06693262,
-0.1599744,-0.29265407,
-0.7540697,-0.31807762,
-0.4675817,1.0,
-0.6722101,-1.0,
0.8644382,0.560279,
-0.3726339,-0.68678963,
1.0,-0.9548919,
-0.107742265,-0.71732277,
-0.25016066,-0.88770807,
-0.2748176,-0.40588918,
-0.24682668,0.46135655,
-0.63930583,-0.1087608,
0.80400527,1.0,
-0.33608493,0.21628687,
0.05262178,-0.8842022,
-0.2975567,,
-0.09779159,,
-0.24832585,,
0.4848805,,
0.24176164,,
0.48849803,,
-0.43656167,,
0.17952949,,
-0.46623486,,
0.20958054,,
0.33874792,,
-0.27936497,,
-0.08679132,,
0.49323955,,
-0.8690531,,
-0.8586297,,
0.32037684,,
-0.033964932,,
-0.66983664,,
-0.67490613,,
0.3652422,,
1.0,,
0.297392,,
0.6309447,,
-0.73364145,,
-0.5098186,,
-0.758545,,
0.4641349,,
-0.4860374,,
0.8688116,,
0.94994605,,
-1.0,,
-0.9789131,,
0.32339537,,
-1.0,,
0.89529335,,
-0.17252396,,
-0.36418054,,
0.104581974,,
-0.49643558,,
-1.0,,
1.0,,
0.30378452,,
-0.6322229,,
