L0,L1,L2,L3,Graph
0.36770815,1.0,-0.009915628,-0.641319,3
-0.2563829,1.0,-0.8328566,-0.4607147,4
-0.9275817,0.2140301,-0.15241921,1.0,4
0.8395239,0.41599676,-0.9018995,-0.6303289,4
-0.025140524,-0.089918874,0.4406642,0.05545625,4
0.40972492,1.0,-0.31634533,-0.1554878,4
-0.61092234,0.48884434,0.8655678,-0.6078257,5
-0.37522355,0.46410313,0.12075648,-0.45254758,5
-0.084716484,0.4425124,-1.0,0.2163257,5
-1.0,-0.49723276,-1.0,0.08243095,5
-0.28746897,1.0,0.17130312,-0.830922,5
-0.6230019,0.5986201,-0.6258222,-0.2130104,7
1.0,0.2412272,1.0,-0.6200775,6
-0.7304154,0.4524098,-0.63449764,-0.4341973,6
0.4315209,0.7255784,0.5221215,-0.87011564,6
0.8176875,0.8855374,-0.711408,0.22127025,6
0.30129892,0.7520112,0.2959014,-0.7679312,10
-0.39583462,-1.0,0.44784182,0.62872237,16
-0.078947276,-0.061860524,-0.588628,-0.8998116,18
0.14964041,0.36609763,1.0,-0.18401763,25
0.116446495,0.88874084,0.13295339,0.09174031,27
0.3613636,-1.0,-1.0,-0.26064602,27
0.38499135,0.80079895,0.56084585,0.42332906,26
0.497675,0.5664852,-0.5802709,0.3585484,33
-0.5499047,1.0,0.28792465,-0.35079706,33
-1.0,-0.44501287,0.9253922,0.23475261,33
0.8535958,0.5951868,0.73937154,-0.30235392,39
1.0,0.1023452,-0.561897,-0.7774985,36
-0.64279497,0.6516883,0.07209225,-0.99092644,36
1.0,0.19993448,0.06768587,-0.44472837,33
-1.0,0.5418492,1.0,0.43130538,37
-0.6278838,1.0,-1.0,-0.6155579,37
-1.0,-0.13271952,-0.16282657,0.6775596,37
0.83708656,-0.121961415,-0.70595205,-0.892446,40
-0.62875956,0.25705278,-0.88064826,-0.37251425,40
0.3366912,0.13446149,-0.47429574,-0.051494673,41
-0.7258799,-0.7808067,-0.6524615,,37
-0.24836557,0.30223364,1.0,,37
-0.2381662,-0.04131052,0.7714546,,37
-0.8569569,0.60069764,-0.5861755,,44
-1.0,-0.02803474,-0.6443933,,55
-0.3514289,-0.47479966,-0.6788223,,55
0.064669535,-0.51211345,0.14993182,,55
0.27758306,1.0,-0.57280374,,55
-0.8390722,0.3332204,-1.0,,55
0.63678855,0.76695615,0.44686198,,55
-0.8958843,1.0,-0.22788686,,55
0.8342596,0.3787161,0.83097434,,53
0.042813964,-0.23078841,-1.0,,53
0.28585085,0.38448364,0.18585235,,53
1.0,0.92658985,0.75840414,,
0.16437328,-1.0,-0.6890483,,
-0.19054791,-0.33440617,-0.056885123,,
-1.0,0.0072623044,0.4933232,,
-0.7859355,0.76119554,-0.6560573,,
-0.8235856,-0.9672023,0.65582347,,
-0.27156043,-0.21913172,0.06646967,,
1.0,-0.23425825,-0.5762452,,
-0.31793588,-0.026742708,0.24587446,,
0.86388856,0.19156379,-0.9673213,,
0.15167592,-0.004983917,-1.0,,
1.0,-1.0,-0.6430162,,
-0.40513334,-0.4304933,-0.43851122,,
-0.16627395,0.23138383,-0.40357232,,
0.80362177,-0.49481708,0.57578826,,
-0.69833624,0.4768622,0.90295005,,
-0.1878011,-0.9384306,0.22222188,,
0.28059164,-0.04295994,3.0648708E-4,,
0.51173496,0.87105954,0.5770227,,
0.96451175,-0.7907327,1.0,,
-0.47509205,0.99503374,-0.69575804,,
-0.34504873,-0.710677,-1.0,,
-0.52268386,,,,
0.25535524,,,,
0.8975066,,,,
-0.93146807,,,,
0.50119865,,,,
0.14148751,,,,
0.1517125,,,,
-0.9185802,,,,
0.96160984,,,,
-1.0,,,,
0.44747093,,,,
-0.34093288,,,,
1.0,,,,
0.79714537,,,,
-0.3907704,,,,
0.80239165,,,,
0.032593668,,,,
-0.04870805,,,,
0.6089207,,,,
-0.44875073,,,,
-1.0,,,,
-0.43688464,,,,
0.6781877,,,,
-0.62326163,,,,
0.45505506,,,,
0.44506654,,,,
1.0,,,,
-0.33148053,,,,
0.11233897,,,,
0.4902157,,,,
-1.0,,,,
0.515248,,,,
0.09000614,,,,
-0.27596873,,,,
-1.0,,,,
0.23245421,,,,
-0.2814777,,,,
-0.70997703,,,,
-0.11835066,,,,
-1.0,,,,
-0.40680826,,,,
-0.10506326,,,,
0.77155215,,,,
0.6942564,,,,
0.73692936,,,,
-0.9550542,,,,
-0.39347094,,,,
1.0,,,,
0.8802947,,,,
0.16574222,,,,
0.30362266,,,,
-0.20038432,,,,
0.63191944,,,,
0.36495575,,,,
0.4170751,,,,
-0.68311185,,,,
0.5999378,,,,
0.9302527,,,,
-0.8224624,,,,
0.482144,,,,
0.07197425,,,,
-0.24539961,,,,
-0.6488269,,,,
-0.52896094,,,,
-0.08431775,,,,
0.52306575,,,,
-0.32617855,,,,
1.0,,,,
-0.8175372,,,,
0.116331875,,,,
-0.31063867,,,,
-0.3493185,,,,
-0.2447021,,,,
1.0,,,,
-0.30967125,,,,
0.39453673,,,,
0.1872514,,,,
-0.68381375,,,,
-0.7540194,,,,
0.15598005,,,,
-0.9792917,,,,
-0.16277215,,,,
-0.07429057,,,,
-0.621626,,,,
-0.6316029,,,,
0.16466638,,,,
-0.12063071,,,,
0.76181185,,,,
0.6789256,,,,
0.836064,,,,
0.45043948,,,,
-0.5178229,,,,
-0.966429,,,,
0.06861664,,,,
0.052744955,,,,
-0.94523215,,,,
0.0749225,,,,
0.8744473,,,,
0.54322916,,,,
-0.5291254,,,,
0.048729703,,,,
0.13158682,,,,
0.57398725,,,,
-0.9239354,,,,
0.7933791,,,,
-0.5479838,,,,
0.49233812,,,,
-0.3680629,,,,
-0.7995766,,,,
0.8702501,,,,
-0.21436308,,,,
0.26252228,,,,
0.19384143,,,,
-0.8798086,,,,
0.811186,,,,
-0.47225443,,,,
-0.103735894,,,,
-0.16796651,,,,
-0.038075805,,,,
-0.08081578,,,,
-0.40295285,,,,
-0.53515583,,,,
1.0,,,,
0.94860435,,,,
-0.45004958,,,,
-0.11432004,,,,
-0.18561119,,,,
0.18395437,,,,
