generation,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,score11,score12,score13,score14,score15,score16,score17,score18,score19,score20
0,1547663,656711,2158848,1377019,902026,748345,1374559,1281169,605462,1027675,888721,941053,4044865,2138219,2550183,1429612,962379,2212332,2687192,1144812
1,3,6,4,4,4,6,4,4,4,8,7,4,4,5,4,4,4,4,4,4
2,4,6,5,6,4,6,5,5,5,8,6,7,4,5,4,4,4,4,4,6
3,5,6,5,5,4,10,5,5,5,10,10,7,5,8,5,5,5,4,7,6
4,6,6,5,5,5,13,7,6,6,11,11,7,7,11,8,6,6,5,6,5
5,9,6,5,5,5,17,8,6,7,12,10,8,22,14,16,6,6,9,6,8
6,11,6,7,8,5,15,8,8,7,13,10,8,40,21,28,6,6,10,6,8
7,14,6,7,21,7,22,8,7,13,17,13,8,40,21,38,6,8,19,12,7
8,20,7,6,25,7,21,8,10,14,22,16,8,63,25,49,6,10,20,20,7
9,20,7,6,23,7,21,12,13,15,22,16,9,66,27,53,6,10,25,19,8
10,25,7,6,37,7,21,20,13,17,24,16,10,66,34,53,6,12,28,32,10
11,26,7,9,37,7,21,20,19,17,24,16,15,91,34,61,8,13,29,32,12
12,31,8,14,41,7,22,26,19,18,24,23,15,91,34,73,8,13,36,33,17
13,30,8,17,41,10,22,29,19,18,24,22,15,91,37,73,9,13,39,33,20
14,33,8,20,60,19,22,29,19,18,26,22,15,91,42,73,15,19,49,33,23
15,32,8,20,60,19,22,39,19,18,27,22,15,92,46,73,18,26,46,48,23
16,32,8,23,60,22,22,39,23,18,27,22,15,92,46,73,21,26,48,52,23
17,32,8,27,60,25,23,39,23,22,29,29,15,89,59,72,34,26,58,73,23
18,45,8,27,60,25,23,43,23,22,29,32,15,97,59,75,34,31,69,73,24
19,45,8,36,60,29,23,42,23,22,29,32,14,109,61,75,34,33,83,78,24
20,39,8,44,60,29,23,42,23,22,36,32,15,102,61,75,41,34,83,78,28
21,45,8,54,60,30,23,44,20,22,36,36,17,102,67,75,41,34,83,81,30
22,45,8,50,60,43,23,57,26,22,36,36,17,102,67,75,39,36,83,81,30
23,52,8,89,60,65,23,57,26,22,36,36,17,115,78,75,39,42,83,81,34
24,52,9,89,60,65,23,57,31,21,34,36,23,123,78,85,39,42,91,81,34
25,52,11,89,67,65,34,59,36,21,34,36,23,123,78,94,40,56,97,84,46
26,52,11,89,67,65,36,59,40,21,34,36,23,123,78,94,50,56,97,84,46
27,52,14,89,63,65,36,61,41,25,34,36,39,123,78,94,53,56,97,84,55
28,59,15,89,63,65,36,73,41,25,40,36,57,123,78,94,53,56,97,84,55
29,76,21,89,63,65,36,66,41,25,49,36,73,123,74,94,60,56,97,93,62
30,76,21,89,63,65,36,78,51,25,49,36,73,123,83,94,63,56,103,93,62
31,76,21,89,71,65,36,78,56,25,55,36,73,123,84,94,63,56,92,93,55
32,76,21,89,69,65,36,78,56,26,55,39,73,123,85,94,62,51,92,93,55
33,76,24,89,74,65,36,78,54,26,74,39,70,123,89,94,62,51,92,92,60
34,76,33,89,74,65,36,78,54,26,74,39,70,123,89,94,75,51,92,92,71
35,76,33,103,74,65,36,78,75,26,75,39,70,123,89,94,75,60,92,92,76
36,76,33,101,74,65,36,78,73,31,75,39,72,123,92,94,75,60,98,92,76
37,76,33,108,74,65,36,78,84,32,75,39,75,116,92,94,76,60,98,94,80
38,76,34,113,74,76,36,78,84,41,75,42,75,116,94,94,80,60,98,94,80
39,70,34,108,74,76,36,78,88,41,88,42,75,116,94,94,80,60,108,94,80
40,75,42,115,74,76,36,74,88,45,88,53,75,116,96,94,80,69,99,94,75
41,75,42,113,73,76,77,83,92,48,88,53,76,116,96,94,80,66,99,94,82
42,75,54,113,73,76,77,83,92,48,88,77,76,116,96,94,77,66,113,94,84
43,75,54,113,84,71,77,108,92,48,100,75,76,134,96,94,92,66,113,94,84
44,75,54,113,84,75,77,108,92,46,100,77,76,134,96,94,97,75,113,94,84
45,75,54,113,79,75,77,112,98,50,100,77,77,134,96,97,114,75,108,94,84
46,76,54,113,79,79,74,112,98,58,100,77,82,134,96,97,114,79,118,94,85
47,76,66,113,79,86,74,112,98,59,100,77,82,134,96,97,114,79,118,94,92
48,76,66,113,79,86,74,112,98,59,100,77,82,134,96,97,114,86,118,94,85
49,75,66,114,79,86,74,112,98,59,100,77,82,134,96,97,114,84,118,94,83
50,75,66,114,83,77,74,112,98,59,100,77,82,134,96,97,114,84,118,94,83
